accuracy,loss,val_accuracy,val_loss
0.4488321840763092,1.2273406982421875,0.5467200875282288,1.0341770648956299
0.5702536106109619,0.9636461734771729,0.6224425435066223,0.8591920137405396
0.608530580997467,0.8831264972686768,0.654081404209137,0.7826953530311584
0.6401117444038391,0.8323125243186951,0.6639949083328247,0.7608493566513062
0.6528180241584778,0.7950121760368347,0.6730647683143616,0.736231803894043
0.6682659387588501,0.7706743478775024,0.6831892132759094,0.7098798751831055
0.6741182208061218,0.7492133975028992,0.6924699544906616,0.6923596262931824
0.6827120780944824,0.7285712361335754,0.695422887802124,0.6867052316665649
0.6908841729164124,0.717065155506134,0.6996414065361023,0.6743053197860718
0.69815993309021,0.6971229314804077,0.7095549702644348,0.655764102935791
0.7008488178253174,0.688277006149292,0.7133516073226929,0.6432045698165894
0.708810031414032,0.673398494720459,0.7146171927452087,0.639541745185852
0.7089154720306396,0.6630117297172546,0.7190465927124023,0.6309992671012878
0.7157694697380066,0.654179573059082,0.7247416377067566,0.6214727163314819
0.7266831994056702,0.6356675028800964,0.730225682258606,0.6175065040588379
