accuracy,loss,val_accuracy,val_loss
0.4529972970485687,1.181199073791504,0.563805103302002,0.9778030514717102
0.5663520693778992,0.9190338253974915,0.6445897221565247,0.8039556741714478
0.5944535136222839,0.8421366810798645,0.6582999229431152,0.7670180797576904
0.6255601644515991,0.7876800894737244,0.6682134866714478,0.7503503561019897
0.6392682194709778,0.7556657195091248,0.6819236278533936,0.7293132543563843
0.6509727239608765,0.7276365756988525,0.6886732578277588,0.708896815776825
0.6595666408538818,0.7030745148658752,0.6950010657310486,0.6953943371772766
0.66905677318573,0.6925599575042725,0.6990086436271667,0.6860888004302979
0.6787578463554382,0.6736636161804199,0.7114532589912415,0.6645987629890442
0.6872990131378174,0.6615262031555176,0.7122969627380371,0.6555253863334656
0.6907787322998047,0.6414487957954407,0.7034381031990051,0.6728014349937439
0.6986871957778931,0.6280423998832703,0.7245306968688965,0.6329359412193298
0.7028523087501526,0.6164674162864685,0.7169373631477356,0.6458519697189331
0.707175612449646,0.6098111867904663,0.7243197560310364,0.6284000873565674
0.7110244035720825,0.5954809784889221,0.7283273339271545,0.6194429397583008
