accuracy,loss,val_accuracy,val_loss
0.6006606817245483,0.9238637089729309,0.6792086362838745,0.7463577389717102
0.6692110896110535,0.7681471705436707,0.7149682641029358,0.6649910807609558
0.6907485723495483,0.7153917551040649,0.7301978468894958,0.6330479979515076
0.7087960243225098,0.6779311299324036,0.7389324307441711,0.6064406037330627
0.7215057611465454,0.6534174084663391,0.7457259893417358,0.5918164849281311
0.7314719557762146,0.6275601387023926,0.7502052783966064,0.5799153447151184
0.7361564636230469,0.612244188785553,0.7619261145591736,0.5605825185775757
0.7445549964904785,0.5956689119338989,0.7640910744667053,0.5476492643356323
0.7511244416236877,0.5806237459182739,0.7731989622116089,0.5363798141479492
0.7565928101539612,0.5666208863258362,0.7734975814819336,0.5267573595046997
0.7623411417007446,0.5559970140457153,0.7806644439697266,0.5181419253349304
0.7679588198661804,0.541163444519043,0.7830533981323242,0.507672905921936
0.773819088935852,0.5316571593284607,0.7820828557014465,0.5132789611816406
0.7784662246704102,0.5219147801399231,0.7868607640266418,0.4934733211994171
0.7826095223426819,0.5131946206092834,0.7904441952705383,0.4976881742477417
